iter	Passed	Remaining
0	14	14485
1	28	14040
2	41	13652
3	54	13551
4	67	13481
5	81	13494
6	94	13460
7	108	13428
8	121	13423
9	135	13458
10	149	13441
11	162	13412
12	176	13383
13	189	13368
14	203	13390
15	218	13418
16	232	13454
17	246	13448
18	260	13429
19	273	13403
20	286	13349
21	299	13328
22	314	13371
23	327	13336
24	341	13331
25	354	13297
26	367	13247
27	381	13249
28	395	13251
29	408	13219
30	424	13263
31	438	13279
32	452	13257
33	465	13222
34	478	13192
35	491	13164
36	504	13130
37	517	13106
38	531	13090
39	544	13078
40	557	13047
41	570	13023
42	583	12996
43	596	12954
44	609	12944
45	623	12932
46	637	12927
47	650	12900
48	662	12863
49	675	12832
50	688	12813
51	701	12783
52	714	12765
53	728	12754
54	741	12733
55	754	12717
56	767	12696
57	781	12691
58	794	12675
59	808	12659
60	821	12647
61	835	12635
62	848	12620
63	860	12587
64	873	12566
65	886	12550
66	900	12545
67	913	12524
68	926	12498
69	939	12485
70	952	12467
71	966	12454
72	980	12447
73	993	12431
74	1006	12411
75	1019	12395
76	1032	12380
77	1045	12361
78	1059	12355
79	1072	12336
80	1086	12321
81	1099	12312
82	1113	12301
83	1126	12287
84	1138	12259
85	1152	12249
86	1167	12250
87	1181	12243
88	1195	12233
89	1209	12225
90	1223	12223
91	1236	12204
92	1251	12201
93	1264	12186
94	1278	12177
95	1292	12169
96	1305	12154
97	1317	12127
98	1330	12112
99	1344	12096
100	1356	12078
101	1369	12061
102	1382	12039
103	1396	12028
104	1409	12016
105	1422	12000
106	1435	11983
107	1448	11967
108	1462	11951
109	1474	11931
110	1488	11919
111	1501	11905
112	1514	11890
113	1527	11874
114	1540	11858
115	1554	11844
116	1568	11839
117	1580	11817
118	1594	11806
119	1608	11793
120	1620	11775
121	1633	11758
122	1646	11741
123	1660	11729
124	1673	11712
125	1685	11693
126	1699	11681
127	1712	11667
128	1726	11655
129	1739	11638
130	1752	11623
131	1765	11606
132	1777	11586
133	1790	11571
134	1803	11555
135	1816	11542
136	1830	11529
137	1843	11515
138	1856	11500
139	1869	11485
140	1882	11470
141	1895	11450
142	1907	11432
143	1921	11421
144	1934	11409
145	1947	11393
146	1962	11385
147	1976	11375
148	1988	11357
149	2002	11346
150	2015	11331
151	2028	11316
152	2041	11298
153	2053	11282
154	2066	11266
155	2080	11254
156	2093	11239
157	2106	11227
158	2119	11211
159	2133	11200
160	2151	11210
161	2172	11240
162	2198	11287
163	2213	11285
164	2229	11282
165	2243	11272
166	2256	11253
167	2269	11237
168	2282	11222
169	2295	11208
170	2308	11191
171	2321	11173
172	2333	11154
173	2348	11147
174	2363	11140
175	2376	11125
176	2389	11109
177	2402	11093
178	2415	11077
179	2428	11063
180	2441	11048
181	2455	11035
182	2468	11022
183	2481	11005
184	2494	10989
185	2507	10973
186	2520	10957
187	2533	10944
188	2546	10928
189	2560	10916
190	2574	10903
191	2586	10886
192	2599	10871
193	2612	10854
194	2625	10838
195	2638	10825
196	2652	10810
197	2664	10792
198	2677	10778
199	2692	10769
200	2706	10758
201	2721	10752
202	2736	10742
203	2752	10738
204	2767	10731
205	2780	10716
206	2793	10700
207	2807	10690
